,company_name,company_rating,other_data
454,Reliance Communications,4.0,"Telecom , 201-500 Employees , Public , 22 years old , Hyderabad / Secunderabad +420 more"
463,Biocon Limited,3.9,"Biotechnology , 5k-10k Employees , Public , 46 years old , Hyderabad / Secunderabad +48 more"
465,Blue Star,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 81 years old , Hyderabad / Secunderabad +133 more"
470,Medvarsity Online,3.3,"Education & Training , 201-500 Employees , Public , 24 years old , Hyderabad / Secunderabad +4 more"
471,Lifestyle,4.4,"Retail , 10k-50k Employees , Fortune India 500 , 25 years old , Hyderabad / Secunderabad +114 more"
473,Abbott,4.2,"Pharma , 10k-50k Employees , Public , 136 years old , Hyderabad / Secunderabad +169 more"
474,CARS24,3.7,"Internet , 5k-10k Employees , Indian Unicorn , 9 years old , Hyderabad / Secunderabad +148 more"
476,Future Group,4.3,"Retail , 10k-50k Employees , Conglomerate , 11 years old , Hyderabad / Secunderabad +196 more"
478,Syngene International,3.9,"Pharma , 1k-5k Employees , Public , 31 years old , Hyderabad / Secunderabad +14 more"
481,ICICI Securities,3.8,"Financial Services , 1k-5k Employees , Public , 29 years old , Hyderabad / Secunderabad +122 more"
485,MTAR Technologies,4.3,"Defence & Aerospace , 1k-5k Employees , Public , 54 years old , Hyderabad / Secunderabad +4 more"
486,USHA International,4.2,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 90 years old , Hyderabad / Secunderabad +111 more"
489,HFCL,4.2,"Hardware & Networking , 1k-5k Employees , Public , 37 years old , Hyderabad / Secunderabad +92 more"
495,Promea Therapeutics,4.4,"Medical Equipment , 501-1k Employees , Startup , 7 years old , Hyderabad / Secunderabad +4 more"
497,Ola Cabs,3.5,"Internet , 1k-5k Employees , Indian Unicorn , 14 years old , Hyderabad / Secunderabad +97 more"
498,Visaka Industries,4.1,"Building Material , 1k-5k Employees , Public , 43 years old , Hyderabad / Secunderabad +50 more"
502,Nvidia,4.1,"Hardware & Networking , 1k-5k Employees , Forbes Global 2000 , 31 years old , Pune +9 more"
