,company_name,company_rating,other_data
281,Zee Media Corporation,3.6,"Media & Entertainment , 1k-5k Employees , Public , 25 years old , Noida +16 more"
284,Inox Wind,3.7,"Power , 501-1k Employees , Public , 15 years old , Noida +36 more"
286,Indiabulls Home Loans,3.9,"NBFC , 5k-10k Employees , Public , 19 years old , Noida +190 more"
294,Sodexo,4.1,"Facility Management Services , 10k-50k Employees , Forbes Global 2000 , 16 years old , Noida +131 more"
296,Ge T & D India,4.3,"Electrical Equipment , 201-500 Employees , Public , 67 years old , Noida +36 more"
301,Tata Teleservices,4.1,"Telecom , 201-500 Employees , Public , 28 years old , Noida +142 more"
302,Ppap Automotive,3.7,"Auto Components , 1k-5k Employees , Public , 46 years old , Noida +13 more"
306,Infra.Market,4.2,"Building Material , 1k-5k Employees , Indian Unicorn , 8 years old , Noida +75 more"
308,Yes Bank,3.9,"Banking , 10k-50k Employees , Public , 20 years old , Noida +447 more"
315,Ang India,4.0,"Consumer Electronics & Appliances , 201-500 Employees , Public , 46 years old , Noida +36 more"
316,Tradologie.com,3.6,"Internet , 51-200 Employees , Startup , 8 years old , Noida +2 more"
317,ERA Group,3.9,"Power , 1k-5k Employees , Public , 34 years old , Noida +35 more"
323,Ujjivan Small Finance Bank,4.1,"Banking , 10k-50k Employees , Public , 7 years old , Noida +447 more"
324,Bpo Convergence,3.6,"BPO , 1k-5k Employees , Conglomerate , 10 years old , Noida +31 more"
335,IndusInd Bank,3.7,"Banking , 10k-50k Employees , Public , 30 years old , Noida +689 more"
339,Supreme Industries,4.2,"Petrochemicals , 5k-10k Employees , Public , 82 years old , Noida +91 more"
344,HT Media,3.4,"Media & Entertainment , 1k-5k Employees , Public , 100 years old , Noida +39 more"
345,PNB Housing Finance,3.9,"Financial Services , 1k-5k Employees , Public , 36 years old , Noida +114 more"
347,Lumen Technologies,4.0,"Hardware & Networking , 1k-5k Employees , Forbes Global 2000 , 94 years old , Noida +14 more"
349,DigiVersal Consultants,2.7,"Internet , 201-500 Employees , Startup , 9 years old , Noida +2 more"
