,company_name,company_rating,other_data
459,L&T Finance,4.0,"NBFC , 10k-50k Employees , Public , 30 years old , Jaipur +474 more"
464,CK Birla Group,4.2,"Building Material , 1k-5k Employees , Conglomerate , 162 years old , Delhi/NCR +45 more"
465,Sony,4.3,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 30 years old , Delhi/NCR +122 more"
466,Team Lease,4.0,"Recruitment , 1k-5k Employees , Public , 8 years old , Bangalore/Bengaluru +311 more"
469,Bajaj Auto,3.9,"Automobile , 5k-10k Employees , Public , 79 years old , Pune +258 more"
472,TVS Motor,4.1,"Automobile , 5k-10k Employees , Public , 45 years old , Chennai +279 more"
474,XpressBees,3.8,"Logistics , 5k-10k Employees , Indian Unicorn , 9 years old , Pune +238 more"
477,Manglam Build Developers,2.9,"Real Estate , 501-1k Employees , Public , 24 years old , Jaipur +3 more"
481,Spicejet,3.5,"Aviation , 5k-10k Employees , Public , 20 years old , Jaipur +57 more"
482,Alkem Laboratories,4.0,"Pharma , 10k-50k Employees , Public , 51 years old , Jaipur +165 more"
487,LeadsGuru,4.3,"EdTech , 11-50 Employees , Startup , 4 years old , Jaipur +23 more"
488,SYSKA LED Lights,2.9,"Consumer Electronics & Appliances , 1k-5k Employees (Global) , Startup , 12 years old , Jaipur +151 more"
489,Reliance SMSL,4.0,"BPO , 1k-5k Employees , Public , 17 years old , Jaipur +489 more"
490,Godrej & Boyce Manufacturing,4.0,"Consumer Electronics & Appliances , 10k-50k Employees , Fortune India 500 , 127 years old , Jaipur +129 more"
494,Dhanuka Agritech,3.9,"Agro Chemicals , 1k-5k Employees , Public , 42 years old , Jaipur +79 more"
495,GAIL,4.5,"Oil & Gas , 1k-5k Employees , Fortune India 500 , 40 years old , Jaipur +93 more"
496,Pernod Ricard,3.9,"Beverage , 1k-5k Employees , Forbes Global 2000 , 49 years old , Jaipur +94 more"
497,Apollo Tyres,4.1,"Auto Components , 5k-10k Employees , Public , 52 years old , Jaipur +152 more"
501,Tata Motors Finance,4.2,"NBFC , 1k-5k Employees , Conglomerate , 67 years old , Jaipur +223 more"
502,Unacademy,3.3,"EdTech , 1k-5k Employees , Indian Unicorn , 9 years old , Jaipur +57 more"
508,Ceinsys Tech,3.9,"IT Services & Consulting , 501-1k Employees , Public , 26 years old , Jaipur +36 more"
513,Poddar Pigments,4.1,"Chemicals , 201-500 Employees , Public , 33 years old , Jaipur +5 more"
520,PNB Housing Finance,3.9,"Financial Services , 1k-5k Employees , Public , 36 years old , Jaipur +114 more"
521,KONE,4.3,"Industrial Machinery , 5k-10k Employees , Forbes Global 2000 , 114 years old , Jaipur +65 more"
526,Aksh Optifibre,3.6,"Telecom , 201-500 Employees , Public , 38 years old , Jaipur +12 more"
527,Blue Dart Express,4.1,"Logistics , 10k-50k Employees , Public , 41 years old , Jaipur +234 more"
531,Aurionpro Solutions,3.7,"Software Product , 1k-5k Employees , Public , 27 years old , Jaipur +32 more"
534,Tata Teleservices,4.1,"Telecom , 201-500 Employees , Public , 28 years old , Jaipur +142 more"
