,company_name,company_rating,other_data
566,Panasonic,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , Forbes Global 2000 , 106 years old , Indore +108 more"
573,Utkarsh Small Finance Bank,3.9,"Banking , 10k-50k Employees , Public , 15 years old , Indore +304 more"
574,Orient Electric,4.0,"Consumer Electronics & Appliances , 501-1k Employees , Public , 70 years old , Indore +54 more"
585,Apollo Tyres,4.1,"Auto Components , 5k-10k Employees , Public , 52 years old , Indore +152 more"
589,Bajaj Consumer Care,3.9,"FMCG , 201-500 Employees , Public , 94 years old , Indore +75 more"
590,Coromandel International,4.2,"Agro Chemicals , 5k-10k Employees , Public , 63 years old , Indore +141 more"
592,Megha Engineering & Infrastructures,4.0,"Engineering & Construction , 5k-10k Employees , Conglomerate , 35 years old , Indore +301 more"
593,Meesho,3.7,"Internet , 5k-10k Employees , Indian Unicorn , 9 years old , Indore +99 more"
594,Ola Electric Mobility,3.3,"Automobile , 5k-10k Employees , Indian Unicorn , 7 years old , Indore +174 more"
595,Tata Steel,4.2,"Iron & Steel , 1 Lakh+ Employees , Public , 117 years old , Indore +182 more"
596,Vedantu,3.4,"EdTech , 1k-5k Employees , Indian Unicorn , 13 years old , Indore +53 more"
610,Ion Exchange India,3.9,"Waste Management , 1k-5k Employees , Public , 60 years old , Indore +91 more"
612,Bureau Veritas,4.0,"Other , 1k-5k Employees , Forbes Global 2000 , 196 years old , Indore +114 more"
614,Alpa Laboratories,4.1,"Pharma , 201-500 Employees , Public , 57 years old , Indore"
617,Bank of Baroda,3.6,"Banking , 50k-1 Lakh Employees , Fortune India 500 , 116 years old , Indore +242 more"
626,Dr Lal PathLabs,4.2,"Healthcare , 1k-5k Employees , Public , 75 years old , Indore +155 more"
630,Greenlam Industries,4.2,"Building Material , 1k-5k Employees , Public , 11 years old , Indore +85 more"
636,Infra.Market,4.2,"Building Material , 1k-5k Employees , Indian Unicorn , 8 years old , Indore +75 more"
637,KEC International,4.1,"Engineering & Construction , 5k-10k Employees , Public , 79 years old , Indore +261 more"
641,Pernod Ricard,3.9,"Beverage , 1k-5k Employees , Forbes Global 2000 , 49 years old , Indore +94 more"
642,FirstCry,3.8,"Retail , 1k-5k Employees , Indian Unicorn , 14 years old , Indore +146 more"
645,MRF Tyres,3.8,"Auto Components , 10k-50k Employees , Public , 78 years old , Indore +161 more"
649,Varun Beverages,4.1,"Beverage , 5k-10k Employees , Public , 29 years old , Indore +286 more"
650,Spinny,3.9,"Internet , 1k-5k Employees , Indian Unicorn , 9 years old , Indore +43 more"
651,Amara Raja Energy & Mobility,4.3,"Auto Components , 5k-10k Employees , Fortune India 500 , 39 years old , Indore +69 more"
655,TradingBells,3.2,"Investment Banking / Venture Capital / Private Equity , 51-200 Employees (Global) , Startup , 8 years old , Indore +1 more"
659,Plethico Pharmaceuticals,3.9,"Pharma , 51-200 Employees , Public , 61 years old , Indore +2 more"
678,TTK Prestige,4.0,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 69 years old , Indore +71 more"
679,Haier Appliances India,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , Conglomerate , 20 years old , Indore +109 more"
689,Tata Consumer Products,3.9,"FMCG , 1k-5k Employees , Public , 62 years old , Mumbai +141 more"
691,ACC,4.0,"Building Material , 5k-10k Employees , Public , 88 years old , Mumbai +218 more"
694,DeHaat,3.7,"Agriculture , 1k-5k Employees , Startup , 5 years old , Patna +93 more"
