,company_name,company_rating,other_data
164,Blue Star,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 81 years old , Mumbai +133 more"
165,Piramal Group,4.0,"Financial Services , 10k-50k Employees , Fortune India 500 , 44 years old , Mumbai +122 more"
166,Standard Chartered,3.9,"Banking , 10k-50k Employees , Fortune India 500 , 171 years old , Mumbai +58 more"
167,Impact Guru,4.1,"Internet , 501-1k Employees , Startup , 10 years old , Mumbai +14 more"
168,Nykaa,3.5,"Internet , 1k-5k Employees , Public , 12 years old , Mumbai +81 more"
170,Aditya Birla Group,4.1,"Building Material , 1 Lakh+ Employees , Conglomerate , 167 years old , Mumbai +222 more"
171,Zydus Lifesciences,4.2,"Pharma , 10k-50k Employees , Public , 72 years old , Mumbai +152 more"
173,Godrej Properties,3.7,"Real Estate , 1k-5k Employees , Public , 34 years old , Mumbai +27 more"
174,Flipkart,4.0,"Internet , 10k-50k Employees , Public , 17 years old , Mumbai +516 more"
175,Hinduja Global Solutions,4.0,"IT Services & Consulting , 10k-50k Employees , Public , 24 years old , Mumbai +104 more"
177,Aditya Birla Capital,4.0,"Financial Services , 10k-50k Employees , Public , 7 years old , Mumbai +192 more"
178,ACC,4.0,"Building Material , 5k-10k Employees , Public , 88 years old , Mumbai +218 more"
179,Toothsi,2.8,"Internet , 501-1k Employees , Startup , 6 years old , Mumbai +14 more"
180,NCR Corporation,4.1,"IT Services & Consulting , 5k-10k Employees , Forbes Global 2000 , 140 years old , Mumbai +79 more"
181,Saint-Gobain,4.0,"Building Material , 10k-50k Employees , Forbes Global 2000 , 359 years old , Mumbai +92 more"
182,IQVIA,4.0,"Clinical Research , 10k-50k Employees , Forbes Global 2000 , 42 years old , Mumbai +44 more"
183,Indoco Remedies,3.7,"Pharma , 5k-10k Employees , Public , 77 years old , Mumbai +69 more"
184,PharmEasy,3.7,"Internet , 1k-5k Employees , Indian Unicorn , 9 years old , Mumbai +56 more"
185,Infosys,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 43 years old , Mumbai +182 more"
186,Kansai Nerolac Paints,3.9,"Chemicals , 1k-5k Employees , Public , 104 years old , Mumbai +182 more"
188,Marico,4.1,"FMCG , 1k-5k Employees , Public , 36 years old , Mumbai +149 more"
191,Voltas,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 70 years old , Mumbai +174 more"
