,company_name,company_rating,industry,size,type,years_old,location
108,Hinduja Global Solutions,4.0,IT Services & Consulting,10k-50k Employees,Public,24,Noida
109,Triveni Engineering & Industries,4.1,Food Processing,1k-5k Employees,Public,92,Noida
110,CBRE,4.2,Real Estate,10k-50k Employees,Forbes Global 2000,118,Noida
111,Religare,3.9,Financial Services,1k-5k Employees,Public,40,Noida
112,Naukri,4.0,Internet,1k-5k Employees,Public,28,Noida
113,Flyhomes,4.3,Internet,201-500 Employees,Startup,9,Noida
114,Vodafone Idea,4.2,Telecom,5k-10k Employees,Public,6,Noida
115,Quess,4.0,BPO,1k-5k Employees,Public,17,Noida
116,Lido Learning,2.3,EdTech,201-500 Employees,Startup,5,Noida
117,JMC Projects,4.2,Engineering & Construction,1k-5k Employees,Public,42,Noida
118,Cadence Design Systems,4.2,IT Services & Consulting,1k-5k Employees,Public,36,Noida
119,Clarivate,3.9,Analytics & KPO,1k-5k Employees,Public,8,Noida
120,Fortis Healthcare,4.1,Healthcare,1k-5k Employees,Public,28,Noida
121,Kailash Hospital,4.1,Healthcare,5k-10k Employees,Public,40,Noida
122,Hays Business Solutions,3.8,Recruitment,501-1k Employees,Public,13,Bangalore
123,Gujarat Fluorochemicals,4.1,Chemicals,1k-5k Employees,Fortune India 500,37,Dahej
124,Zee Media Corporation,3.6,Media & Entertainment,1k-5k Employees,Public,25,Noida
125,Inox Wind,3.7,Power,501-1k Employees,Public,15,Noida
126,Indiabulls Home Loans,3.9,NBFC,5k-10k Employees,Public,19,Noida
127,Sodexo,4.1,Facility Management Services,10k-50k Employees,Forbes Global 2000,16,Noida
128,Ge T & D India,4.3,Electrical Equipment,201-500 Employees,Public,67,Noida
129,Tata Teleservices,4.1,Telecom,201-500 Employees,Public,28,Noida
130,Ppap Automotive,3.7,Auto Components,1k-5k Employees,Public,46,Noida
131,Infra.Market,4.2,Building Material,1k-5k Employees,Indian Unicorn,8,Noida
132,Yes Bank,3.9,Banking,10k-50k Employees,Public,20,Noida
133,Ang India,4.0,Consumer Electronics & Appliances,201-500 Employees,Public,46,Noida
134,Tradologie.com,3.6,Internet,51-200 Employees,Startup,8,Noida
135,ERA Group,3.9,Power,1k-5k Employees,Public,34,Noida
136,Ujjivan Small Finance Bank,4.1,Banking,10k-50k Employees,Public,7,Noida
