,company_name,company_rating,industry,size,type,years_old,location
526,Stanza Living,3.1,Internet,501-1k Employees,Startup,7,Delhi
527,PNB Housing Finance,3.9,Financial Services,1k-5k Employees,Public,36,Ahmedabad
528,Deutsche Bank,4.0,Banking,10k-50k Employees,Fortune India 500,154,Ahmedabad
529,Amara Raja Energy & Mobility,4.3,Auto Components,5k-10k Employees,Fortune India 500,39,Ahmedabad
530,UPL,4.2,Agro Chemicals,5k-10k Employees,Public,55,Ahmedabad
531,PropTiger.com,4.2,Internet,1k-5k Employees,Startup,13,Ahmedabad
532,Denis Chem Lab,4.4,Pharma,51-200 Employees,Public,44,Ahmedabad
533,Latteys Industries,3.9,Industrial Machinery,51-200 Employees,Public,20,Ahmedabad
534,Bloom Dekor,2.9,Furniture & Furnishing,51-200 Employees,Public,30,Ahmedabad
535,MEASUREONE SOLUTIONS,3.9,Software Product,51-200 Employees,Startup,8,Ahmedabad
536,Latteys Industries,3.9,Industrial Machinery,51-200 Employees,Public,20,Ahmedabad
537,Frendy,3.2,Internet,51-200 Employees,Startup,5,Ahmedabad
538,Saint-Gobain,4.0,Building Material,10k-50k Employees,Forbes Global 2000,359,Ahmedabad
539,Whirlpool,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,113,Ahmedabad
540,Uber,4.2,Internet,1k-5k Employees,Public,15,Ahmedabad
541,Hubtown,3.7,Engineering & Construction,1k-5k Employees,Public,35,Ahmedabad
542,Kissht Finance,4.1,FinTech,201-500 Employees,Startup,9,Ahmedabad
543,Patanjali Ayurved,3.2,FMCG,1k-5k Employees,Fortune India 500,18,Ahmedabad
544,BlackBuck,3.9,Internet,1k-5k Employees,Indian Unicorn,9,Ahmedabad
545,Emami,4.1,Beauty & Personal Care,1k-5k Employees,Public,50,Ahmedabad
546,Uber,4.2,Internet,1k-5k Employees,Public,15,Ahmedabad
547,Whirlpool,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,113,Ahmedabad
548,Saint-Gobain,4.0,Building Material,10k-50k Employees,Forbes Global 2000,359,Ahmedabad
549,Muthoot Group,3.6,Financial Services,10k-50k Employees,Public,137,Ahmedabad
550,Hindustan Petroleum,4.3,Oil & Gas,5k-10k Employees,Central,50,Ahmedabad
551,Canara Bank,3.5,Banking,50k-1 Lakh Employees,Public,118,Ahmedabad
552,Central Bank of India,4.0,Banking,10k-50k Employees,Public,113,Ahmedabad
