,company_name,company_rating,industry,size,type,years_old,location
546,Palred Online Technologies,3.9,IT Services & Consulting,51-200 Employees,Public,25,Hyderabad
547,Vedantu,3.4,EdTech,1k-5k Employees,Indian Unicorn,13,Hyderabad
548,Mishra Dhatu Nigam,4.1,Metals & Mining,1k-5k Employees,Public,48,Hyderabad
549,Isthara,3.3,Internet,51-200 Employees,Startup,7,Hyderabad
550,Shree Cement,4.0,Building Material,5k-10k Employees,Public,45,Hyderabad
551,Xiaomi,3.9,Consumer Electronics & Appliances,1k-5k Employees,Forbes Global 2000,14,Hyderabad
552,VRL Logistics,4.0,Logistics,10k-50k Employees,Public,41,Hyderabad
553,HungerBox,3.8,Internet,501-1k Employees,Startup,8,Hyderabad
554,LEAP India Private Limited,4.4,Packaging,501-1k Employees,Startup,11,Hyderabad
555,Softsol,3.4,IT Services & Consulting,51-200 Employees,Public,31,Hyderabad
556,Yum!,4.1,Hospitality,501-1k Employees,Forbes Global 2000,27,Hyderabad
557,Shell Infotech,4.1,IT Services & Consulting,201-500 Employees,Public,22,Hyderabad
558,Cisco,4.3,Hardware & Networking,10k-50k Employees,Public,40,Hyderabad
559,Sundaram Finance,4.2,NBFC,1k-5k Employees,Public,70,Hyderabad
560,Rapido,3.8,Internet,1k-5k Employees,Startup,9,Hyderabad
561,Rane Brake Lining,4.3,Auto Components,201-500 Employees,Public,60,Hyderabad
562,Nestle,4.1,Food Processing,5k-10k Employees,Public,65,Hyderabad
563,UPL,4.2,Agro Chemicals,5k-10k Employees,Public,55,Hyderabad
564,Coastal Projects,3.8,Engineering & Construction,5k-10k Employees (Global),Public,29,Hyderabad
565,Sony,4.3,Consumer Electronics & Appliances,1k-5k Employees,Public,30,Sonipat
566,Pi DATACENTERS,3.6,IT Services & Consulting,51-200 Employees,Startup,10,Hyderabad
567,Panasonic,4.1,Consumer Electronics & Appliances,1k-5k Employees,Forbes Global 2000,106,Gurgaon
568,Bharat Petroleum,4.2,Oil & Gas,5k-10k Employees,Fortune India 500,72,Hyderabad
569,Sony,4.3,Consumer Electronics & Appliances,1k-5k Employees,Public,30,Hyderabad
570,Prime Focus,3.9,Animation & VFX,1k-5k Employees,Public,27,Hyderabad
571,Pi DATACENTERS,3.6,IT Services & Consulting,51-200 Employees,Startup,10,Hyderabad
572,LEAD School,3.3,EdTech,1k-5k Employees,Indian Unicorn,11,Hyderabad
573,Vijayasri Organics,4.3,Pharma,201-500 Employees,Public,38,Hyderabad
574,BrightCHAMPS,3.5,EdTech,501-1k Employees,Startup,4,Hyderabad
575,TTEC Digital Analytics India,4.0,BPO,1k-5k Employees,Public,42,Hyderabad
576,Katerra,3.4,Engineering & Construction,501-1k Employees,Startup,9,Hyderabad
577,AlgonoX Technologies,3.4,Internet,51-200 Employees,Startup,9,Hyderabad
578,Facebook,4.3,Internet,1k-5k Employees,Forbes Global 2000,20,Hyderabad
579,Godrej Group,4.0,Chemicals,10k-50k Employees,Public,127,Hyderabad
580,Future Supply Chain Solutions,4.4,Logistics,1k-5k Employees,Public,18,Hyderabad
