,company_name,company_rating,industry,size,type,years_old,location
331,JSW Cement,4.1,Building Material,1k-5k Employees,Conglomerate,15,Mumbai
332,S2 Infotech,3.4,Recruitment,201-500 Employees,Public,19,Mumbai
333,JSW Cement,4.1,Building Material,1k-5k Employees,Conglomerate,15,Mumbai
334,Onward Technologies Inc,3.2,Software Product,1k-5k Employees,Public,33,Mumbai
335,Oracle,3.8,Software Product,50k-1 Lakh Employees,Public,47,Mumbai
336,Cavinkare,4.0,FMCG,1k-5k Employees,Conglomerate,41,Mumbai
337,KONE,4.3,Industrial Machinery,5k-10k Employees,Forbes Global 2000,114,Mumbai
338,Gracenote,3.7,Media & Entertainment,501-1k Employees,Public,26,Mumbai
339,Tata Consumer Products,3.9,FMCG,1k-5k Employees,Public,62,Mumbai
340,Medlife,3.7,Internet,1k-5k Employees,Startup,10,Mumbai
341,Spicejet,3.5,Aviation,5k-10k Employees,Public,20,Mumbai
342,Rallis India,4.3,Agro Chemicals,1k-5k Employees,Public,76,Mumbai
343,Testbook.com,3.7,EdTech,501-1k Employees,Startup,10,Mumbai
344,Indian Railways,4.2,Railways,1 Lakh+ Employees,Central,171,Mumbai
345,Prince Pipes & Fittings,4.3,Building Material,1k-5k Employees,Public,37,Mumbai
