,company_name,company_rating,industry,size,type,years_old,location
6687,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
6688,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
6689,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
6690,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
6691,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
6692,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
6693,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
6694,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
6695,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
6696,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
6697,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
6698,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
6699,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
6700,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
6701,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6702,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6703,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
6704,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
6705,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
6706,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
6707,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
6708,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
6709,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
6710,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
6711,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
6712,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
6713,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
6714,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
6715,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
6716,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
6717,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
6718,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
6719,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6720,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6721,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
6722,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
6723,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
6724,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
6725,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
6726,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
6727,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
6728,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
6729,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
6730,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
6731,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
6732,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
6733,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
6734,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
6735,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
6736,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
6737,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6738,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6739,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
6740,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
6741,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
6742,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
6743,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
6744,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
6745,Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41,Fremont
6746,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Navi
6747,Amazon,4.1,Internet,1 Lakh+ Employees,Public,30,Seattle
6748,IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113,Armonk
6749,Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86,Mumbai
6750,TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56,Mumbai
6751,Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35,Dublin
6752,Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30,Teaneck.
6753,Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79,Bangalore/Bengaluru
6754,Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57,Paris
6755,HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6756,ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30,Mumbai
6757,Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43,Bengaluru/Bangalore
6758,HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33,Noida
6759,Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38,Pune
6760,Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27,New
6761,Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31,Mumbai
6762,Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46,Paris
