,company_name,company_rating,industry,size,type,years_old,location
503,Samunnati Financial Intermediation and Services,4.5,Financial Services,201-500 Employees,Startup,10,Jaipur
504,Shalimar Paints,3.9,Chemicals,1k-5k Employees,Public,122,Jaipur
505,Kaya Skin Clinic,4.1,Beauty & Personal Care,501-1k Employees,Public,21,Jaipur
506,Action Construction Equipment,3.8,Industrial Machinery,1k-5k Employees,Public,29,Jaipur
507,Thomas Cook,3.9,Travel & Tourism,1k-5k Employees,Public,143,Jaipur
508,Telesonic Networks,3.7,Telecom,5k-10k Employees,Public,15,Jaipur
509,TCI Express,3.9,Logistics,1k-5k Employees,Public,28,Jaipur
510,Military Engineer Services,4.5,Engineering & Construction,51-200 Employees,Public,101,Jaipur
511,Asian Granito India,3.8,Building Material,1k-5k Employees,Public,24,Jaipur
512,Rebel Foods,3.8,Internet,5k-10k Employees,Indian Unicorn,12,Jaipur
513,Chambal Fertilisers And Chemicals,4.1,Agro Chemicals,1k-5k Employees,Public,39,Jaipur
514,Kirloskar Brothers,4.1,Industrial Machinery,1k-5k Employees,Public,136,Jaipur
515,Union Bank of India,4.1,Banking,50k-1 Lakh Employees,Public,105,Jaipur
516,CityMall,3.2,Internet,1k-5k Employees,Startup,5,Jaipur
517,Sanofi,4.4,Pharma,1k-5k Employees,Public,20,Jaipur
518,Federal Bank,3.9,Banking,10k-50k Employees,Public,93,Jaipur
519,Rebel Foods,3.8,Internet,5k-10k Employees,Indian Unicorn,12,Jaipur
520,KhataBook,3.6,FinTech,501-1k Employees,Startup,6,Jaipur
521,WiJungle,4.2,Emerging Technologies,51-200 Employees,Startup,7,Jaipur
522,EICHER TRUCKS AND BUSES,4.4,Automobile,1k-5k Employees,Public,16,Jaipur
523,Force Motors,3.6,Automobile,1k-5k Employees,Public,66,Jaipur
524,Cure foods,3.9,Fitness & Wellness,501-1k Employees,Startup,8,Jaipur
525,Atishay,3.8,BPO,51-200 Employees,Public,35,Jaipur
526,Air India,4.0,Aviation,10k-50k Employees,Central,94,Jaipur
527,Relaxo Footwear,4.3,Fashion & Textile,5k-10k Employees,Public,40,Jaipur
528,Jumbotail Technologies,3.7,Retail,201-500 Employees,Startup,9,Jaipur
529,Sanofi,4.4,Pharma,1k-5k Employees,Public,20,Paris
530,Procter & Gamble,4.2,FMCG,1k-5k Employees,Public,187,Cincinnati
531,ECE Industries,3.7,Electrical Equipment,201-500 Employees,Public,79,Delhi/NCR
532,Magma Housing Finance,4.3,Financial Services,5k-10k Employees,Public,35,Kolkata
533,Merino Industries,2.7,Furniture & Furnishing,1k-5k Employees,Public,56,Jaipur
534,Muthoot Pappachan Group,3.1,Financial Services,10k-50k Employees,Conglomerate,137,Jaipur
535,Core Integra Consulting Services,3.6,Recruitment,501-1k Employees,Conglomerate,13,Jaipur
536,ECE Industries,3.7,Electrical Equipment,201-500 Employees,Public,79,Jaipur
537,KapitalTech,4.1,Financial Services,201-500 Employees,Public,10,Jaipur
538,Merino Industries,2.7,Furniture & Furnishing,1k-5k Employees,Public,56,Jaipur
539,Muthoot Pappachan Group,3.1,Financial Services,10k-50k Employees,Conglomerate,137,Jaipur
540,Copado,4.9,Internet,51-200 Employees (Global),Startup,12,Jaipur
541,FreshoKartz Agri Products,4.3,Internet,51-200 Employees,Startup,8,Jaipur
542,Indian Motor Parts & Accessories,4.1,Auto Components,51-200 Employees,Public,70,Jaipur
543,Honeywell Automation,3.8,Consumer Electronics & Appliances,10k-50k Employees,Public,118,Jaipur
544,Exclusífe Technosoft,3.0,Retail,11-50 Employees,Startup,11,Jaipur
545,Hello English,3.8,EdTech,1-10 Employees,Startup,12,Jaipur
546,FreshoKartz Agri Products,4.3,Internet,51-200 Employees,Startup,8,Jaipur
547,1ne Click Online,3.1,Internet,51-200 Employees,Startup,10,Jaipur
